"Name (SKU)","Supplier","Location","Drop Level","Total Inventory","Packed Inventory","Prelisted","Bulk Inventory","Ordered Inventory","Last Orders","SA BOMs","Popularity","Lead Time","Weeks On Hand","Case Qty","Discontinued","Core Status","Purchase Coverage Goal","Packed Coverage Goal","Buffer Settings","Carton/Sticker","Carton/Sticker Inventory","Recommended","W34 (8/16)","W35 (8/23)","W36 (8/30)","W37 (9/6)","W38 (9/13)","W39 (9/20)","W40 (9/27)","W41 (10/4)","W42 (10/11)","W43 (10/18)","W44 (10/25)","W45 (11/1)","W46 (11/8)","W47 (11/15)","W48 (11/22)","W49 (11/29)","W50 (12/6)","W51 (12/13)","W52 (12/20)","W1 (12/27)","W2 (1/3)","W3 (1/10)","W4 (1/17)","W5 (1/24)","W6 (1/31)","W7 (2/7)","W8 (2/14)","W9 (2/21)","W10 (2/28)","W11 (3/7)","W12 (3/14)","W13 (3/21)","W14 (3/28)","W15 (4/4)","W16 (4/11)","W17 (4/18)","W18 (4/25)","W19 (5/2)","W20 (5/9)","W21 (5/16)","W22 (5/23)","W23 (5/30)","W24 (6/6)","W25 (6/13)","W26 (6/20)","W27 (6/27)","W28 (7/4)","W29 (7/11)","W30 (7/18)","W31 (7/25)","W32 (8/1)","W33 (8/8)","W34 (8/15)","W35 (8/22)","W36 (8/29)","W37 (9/5)","W38 (9/12)","W39 (9/19)","W40 (9/26)","W41 (10/3)"
"Classic Chocolate Chip Individual (merged) ( RM-03-096-A ) , ( RM-03-096-E )","Brownie Points","Taylor Englewood","50","3,307","1,257","-","0","2,100","P02154 8/5/26","SA-03-096-A 1.0 SA-03-096-E 1.0","Bakery & Cafe @TY :  3.5 % Bakery & Cafe @EW :  5.2 % Custom Mug & Treats :  2.2 %","6 w","4 w","—","Active","Core","OK 3307  /   3,134 8 w  goal","OK 1207  /   625 2 w  packed","50.0 % Week  49 - 53","C-C03-REG-25-096-XXX","5,100","864","250","375","301","326","320","357","440","765","596","441","506","416","474","712","575","2151","4296","6346","4326","1154","1386","649","468","460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Double Fudge Individual (merged) ( RM-03-097-A ) , ( RM-03-097-E )","Brownie Points","Taylor Englewood","50","3,225","1,675","-","0","1,600","P02154 8/5/26","SA-03-097-A 1.0 SA-03-097-E 1.0","Bakery & Cafe @TY :  3.3 % Dog S-Wag :  0.2 % Bakery & Cafe @EW :  3.9 % Custom Mug & Treats :  2.0 %","6 w","4 w","—","Active","Core","OK 3225  /   2,846 8 w  goal","OK 1625  /   567 2 w  packed","50.0 % Week  49 - 53","C-C03-REG-25-097-XXX","9,192","623","227","340","273","296","291","325","400","694","541","400","459","378","431","647","522","1952","3895","5752","3922","1046","1256","588","425","417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lemon Individual EW ( RM-03-098-E )","Brownie Points","Englewood","25","73","98","-","0","-","-","SA-03-098-E 1.0","-","6 w","4 w","—","SA-03-098-E :   Yes","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Salted Caramel Individual (merged) ( RM-03-099-A ) , ( RM-03-099-E )","Brownie Points","Taylor Englewood","40","2,397","1,137","-","0","1,300","P02154 8/5/26","SA-03-099-A 1.0 SA-03-099-E 1.0","Bakery & Cafe @TY :  2.5 % Bakery & Cafe @EW :  2.2 % Custom Mug & Treats :  1.7 %","6 w","4 w","—","Active","Core","OK 2397  /   2,111 8 w  goal","OK 1097  /   421 2 w  packed","50.0 % Week  49 - 53","C-C03-REG-25-099-XXX","4,995","431","169","252","203","219","215","241","297","515","401","297","341","281","320","481","388","1449","2889","4267","2909","776","932","437","315","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Classic Chocolate Fudge Individual (merged) ( RM-45-001-A ) , ( RM-45-001-E )","Brownie Points","Taylor Englewood","30","3,399","1,701","-","0","1,728","P02154 8/5/26","SA-45-001-A 1.0 SA-45-001-E 1.0","Bakery & Cafe @TY :  3.2 % Dog S-Wag :  0.0 % Bakery & Cafe @EW :  3.7 % Custom Mug & Treats :  3.3 %","6 w","4 w","—","Active","Core","OK 3399  /   2,795 8 w  goal","OK 1671  /   557 2 w  packed","50.0 % Week  49 - 53","C-B45-REG-24-001-XXX","4,724","487","223","334","268","291","285","319","393","682","532","393","451","371","423","636","513","1919","3830","5656","3856","1028","1235","579","417","412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Original Kitchen Sink Individual (merged) ( RM-45-002-A ) , ( RM-45-002-E )","Brownie Points","Taylor Englewood","30","3,113","1,559","-","0","1,584","P02154 8/5/26","SA-45-002-A 1.0 SA-45-002-E 1.0","Bakery & Cafe @TY :  3.4 % Bakery & Cafe @EW :  3.2 % Custom Mug & Treats :  1.8 %","6 w","4 w","—","Active","Core","OK 3113  /   2,853 8 w  goal","OK 1529  /   568 2 w  packed","50.0 % Week  49 - 53","C-B45-REG-24-002-XXX","7,496","683","228","340","274","297","291","326","401","696","542","401","461","379","432","650","524","1959","3907","5770","3933","1049","1260","590","426","418","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coffee Toffee Individual (merged) ( RM-45-008-A ) , ( RM-45-008-E )","Brownie Points","Taylor Englewood","50","1,045","1,095","-","0","-","-","SA-45-008-A 1.0 SA-45-008-E 1.0","Bakery & Cafe @TY :  2.1 % Bakery & Cafe @EW :  2.2 % Custom Mug & Treats :  1.8 %","6 w","4 w","—","Active","Core","Short 1045  /   2,383 10 w  goal","OK 1045  /   357 2 w  packed","50.0 % Week  49 - 53","C-B45-REG-24-008-XXX","265","1384","143","214","172","186","183","204","252","437","340","252","289","238","271","407","329","1229","2451","3620","2468","658","791","370","267","263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Triple Chocolate Crunch Individual (merged) ( RM-45-012-A ) , ( RM-45-012-E )","Brownie Points","Taylor Englewood","50","2,028","1,262","-","0","816","P02154 8/5/26","SA-45-012-A 1.0 SA-45-012-E 1.0","Bakery & Cafe @TY :  2.1 % Bakery & Cafe @EW :  1.7 % Custom Mug & Treats :  1.6 %","6 w","4 w","—","Active","Core","OK 2028  /   1,730 8 w  goal","OK 1212  /   344 2 w  packed","50.0 % Week  49 - 53","C-B45-REG-24-012-XXX","6,019","386","138","206","166","180","177","198","243","422","329","243","280","230","262","394","318","1189","2370","3500","2386","636","764","358","258","254","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cinnamon Streusel Individual (merged) ( RM-45-018-A ) , ( RM-45-018-E )","Brownie Points","Taylor Englewood","50","1,443","917","-","0","576","P02154 8/5/26","SA-45-018-A 1.0 SA-45-018-E 1.0","Bakery & Cafe @TY :  1.3 % Bakery & Cafe @EW :  1.2 % Custom Mug & Treats :  0.8 %","6 w","4 w","—","Active","Core","OK 1443  /   1,076 8 w  goal","OK 867  /   214 2 w  packed","50.0 % Week  49 - 53","C-B45-REG-25-018-XXX","728","186","86","128","103","112","110","123","151","263","205","151","174","143","163","245","198","739","1475","2178","1485","396","476","223","161","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peanut Butter Fudge Individual (merged) ( RM-45-019-A ) , ( RM-45-019-E )","Brownie Points","Taylor Englewood","50","2,118","1,400","-","0","768","P02154 8/5/26","SA-45-019-A 1.0 SA-45-019-E 1.0","Bakery & Cafe @TY :  2.0 % Dog S-Wag :  0.0 % Bakery & Cafe @EW :  2.0 % Custom Mug & Treats :  2.3 %","6 w","4 w","—","Active","Core","OK 2118  /   1,716 8 w  goal","OK 1350  /   342 2 w  packed","50.0 % Week  49 - 53","C-B45-REG-25-019-XXX","9,992","312","137","205","165","178","175","196","241","419","326","241","277","228","260","391","315","1179","2351","3472","2367","631","758","355","256","253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
