"Name (SKU)","Supplier","Location","Drop Level","Total Inventory","Packed Inventory","Prelisted","Bulk Inventory","Ordered Inventory","Last Orders","SA BOMs","Popularity","Lead Time","Weeks On Hand","Case Qty","Discontinued","Core Status","Purchase Coverage Goal","Packed Coverage Goal","Buffer Settings","Carton/Sticker","Carton/Sticker Inventory","Recommended","W34 (8/16)","W35 (8/23)","W36 (8/30)","W37 (9/6)","W38 (9/13)","W39 (9/20)","W40 (9/27)","W41 (10/4)","W42 (10/11)","W43 (10/18)","W44 (10/25)","W45 (11/1)","W46 (11/8)","W47 (11/15)","W48 (11/22)","W49 (11/29)","W50 (12/6)","W51 (12/13)","W52 (12/20)","W1 (12/27)","W2 (1/3)","W3 (1/10)","W4 (1/17)","W5 (1/24)","W6 (1/31)","W7 (2/7)","W8 (2/14)","W9 (2/21)","W10 (2/28)","W11 (3/7)","W12 (3/14)","W13 (3/21)","W14 (3/28)","W15 (4/4)","W16 (4/11)","W17 (4/18)","W18 (4/25)","W19 (5/2)","W20 (5/9)","W21 (5/16)","W22 (5/23)","W23 (5/30)","W24 (6/6)","W25 (6/13)","W26 (6/20)","W27 (6/27)","W28 (7/4)","W29 (7/11)","W30 (7/18)","W31 (7/25)","W32 (8/1)","W33 (8/8)","W34 (8/15)","W35 (8/22)","W36 (8/29)","W37 (9/5)","W38 (9/12)","W39 (9/19)","W40 (9/26)","W41 (10/3)"
"Jelly Belly Coconut Bulk ( RM-01-003-A )","Redstone","—","0 lb","0 lb","0","-","-52 lb","-","-","SA-01-003-A 2.3","-","5 w","4 w","—","SA-01-003-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-003-XXX","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jelly Belly Sour Cherry Bulk ( RM-01-004-A )","Redstone","—","0 lb","0 lb","0","-","0 lb","-","-","SA-01-004-A 2.3","-","5 w","4 w","—","SA-01-004-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-004-XXX","489","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jelly Belly Birthday Cake Bulk ( RM-01-005-A )","Redstone","—","0 lb","0 lb","0","-","0 lb","-","-","SA-01-005-A 2.3","-","5 w","4 w","—","SA-01-005-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-005-XXX","143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jelly Belly Berry Blue Bulk ( RM-01-007-A )","Redstone","—","0 lb","0 lb","0","-","0 lb","-","-","SA-01-007-A 2.3","-","5 w","4 w","—","SA-01-007-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-007-XXX","390","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sour Rainbow Sticks Bulk ( RM-01-008-A )","Redstone","Englewood","0 lb","232 lb","0","-","78 lb","154 lb","P02124 7/21/26","SA-01-008-A 3.3","Candy & Snacks :  2.1 %","5 w","4 w","—","SA-01-008-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-008-XXX","720","285 lbs","34 lb","52 lb","42 lb","45 lb","44 lb","50 lb","61 lb","108 lb","81 lb","60 lb","69 lb","57 lb","65 lb","99 lb","79 lb","294 lb","581 lb","838 lb","573 lb","151 lb","181 lb","87 lb","63 lb","42 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jelly Belly Green Apple Bulk ( RM-01-009-A )","Redstone","—","0 lb","0 lb","0","-","0 lb","-","-","SA-01-009-A 2.3","-","5 w","4 w","—","SA-01-009-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-009-XXX","168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Holland Mints Bulk ( RM-01-010-A )","Redstone","—","0 lb","0 lb","0","-","0 lb","-","-","SA-01-010-A 2.9","-","5 w","4 w","—","SA-01-010-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-010-XXX","501","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hot Tamales Bulk ( RM-01-018-A )","Redstone","Englewood","0 lb","100 lb","0","-","10 lb","90 lb","P02124 7/21/26","SA-01-018-A 2.3","Candy & Snacks :  1.1 %","5 w","4 w","—","SA-01-018-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-018-XXX","283","285 lbs","25 lb","39 lb","31 lb","34 lb","33 lb","37 lb","45 lb","80 lb","60 lb","45 lb","51 lb","43 lb","49 lb","73 lb","59 lb","219 lb","432 lb","623 lb","426 lb","112 lb","135 lb","65 lb","47 lb","32 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Licorice Bridge Mix Bulk ( RM-01-020-A )","Redstone","—","0 lb","0 lb","0","-","0 lb","-","-","SA-01-020-A 2.6","-","5 w","4 w","—","SA-01-020-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-020-XXX","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jelly Belly Ice Cream Parlor Bulk ( RM-01-021-A )","Redstone","—","0 lb","0 lb","0","-","0 lb","-","-","SA-01-021-A 2.3","-","5 w","4 w","—","SA-01-021-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-021-XXX","486","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
